CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004676798CK;18/05/2021;15;0,125;R
ES0021000004676798CK;18/05/2021;16;0,427;R
ES0021000004676798CK;18/05/2021;17;0,631;R
ES0021000004676798CK;18/05/2021;18;0,151;R
ES0021000004676798CK;18/05/2021;19;0,162;R
ES0021000004676798CK;18/05/2021;20;0,143;R
ES0021000004676798CK;18/05/2021;21;0,319;R
ES0021000004676798CK;18/05/2021;22;0,192;R
ES0021000004676798CK;18/05/2021;23;0,261;R
ES0021000004676798CK;18/05/2021;24;0,197;R
ES0021000004676798CK;19/05/2021;1;0,231;R
ES0021000004676798CK;19/05/2021;2;0,253;R
ES0021000004676798CK;19/05/2021;3;0,193;R
ES0021000004676798CK;19/05/2021;4;0,156;R
ES0021000004676798CK;19/05/2021;5;0,156;R
ES0021000004676798CK;19/05/2021;6;0,125;R
ES0021000004676798CK;19/05/2021;7;0,514;R
ES0021000004676798CK;19/05/2021;8;1,62;R
ES0021000004676798CK;19/05/2021;9;0,458;R
ES0021000004676798CK;19/05/2021;10;0,16;R
ES0021000004676798CK;19/05/2021;11;0,222;R
ES0021000004676798CK;19/05/2021;12;0,108;R
ES0021000004676798CK;19/05/2021;13;0,14;R
ES0021000004676798CK;19/05/2021;14;0,149;R
ES0021000004676798CK;19/05/2021;15;0,174;R
ES0021000004676798CK;19/05/2021;16;0,287;R
ES0021000004676798CK;19/05/2021;17;0,585;R
ES0021000004676798CK;19/05/2021;18;0,732;R
ES0021000004676798CK;19/05/2021;19;0,277;R
ES0021000004676798CK;19/05/2021;20;0,164;R
ES0021000004676798CK;19/05/2021;21;1,215;R
ES0021000004676798CK;19/05/2021;22;0,842;R
ES0021000004676798CK;19/05/2021;23;1,39;R
ES0021000004676798CK;19/05/2021;24;1,044;R
ES0021000004676798CK;20/05/2021;1;0,888;R
ES0021000004676798CK;20/05/2021;2;0,158;R
ES0021000004676798CK;20/05/2021;3;0,165;R
ES0021000004676798CK;20/05/2021;4;0,135;R
ES0021000004676798CK;20/05/2021;5;0,139;R
ES0021000004676798CK;20/05/2021;6;0,156;R
ES0021000004676798CK;20/05/2021;7;0,149;R
ES0021000004676798CK;20/05/2021;8;0,313;R
ES0021000004676798CK;20/05/2021;9;0,152;R
ES0021000004676798CK;20/05/2021;10;0,138;R
ES0021000004676798CK;20/05/2021;11;0,126;R
ES0021000004676798CK;20/05/2021;12;0,147;R
ES0021000004676798CK;20/05/2021;13;0,151;R
ES0021000004676798CK;20/05/2021;14;0,128;R
ES0021000004676798CK;20/05/2021;15;0,123;R
ES0021000004676798CK;20/05/2021;16;0,188;R
ES0021000004676798CK;20/05/2021;17;0,439;R
ES0021000004676798CK;20/05/2021;18;0,169;R
ES0021000004676798CK;20/05/2021;19;0,143;R
ES0021000004676798CK;20/05/2021;20;0,115;R
ES0021000004676798CK;20/05/2021;21;0,134;R
ES0021000004676798CK;20/05/2021;22;0,25;R
ES0021000004676798CK;20/05/2021;23;0,245;R
ES0021000004676798CK;20/05/2021;24;0,217;R
ES0021000004676798CK;21/05/2021;1;0,315;R
ES0021000004676798CK;21/05/2021;2;0,16;R
ES0021000004676798CK;21/05/2021;3;0,139;R
ES0021000004676798CK;21/05/2021;4;0,157;R
ES0021000004676798CK;21/05/2021;5;0,141;R
ES0021000004676798CK;21/05/2021;6;0,111;R
ES0021000004676798CK;21/05/2021;7;0,34;R
ES0021000004676798CK;21/05/2021;8;1,515;R
ES0021000004676798CK;21/05/2021;9;0,636;R
ES0021000004676798CK;21/05/2021;10;0,145;R
ES0021000004676798CK;21/05/2021;11;0,186;R
ES0021000004676798CK;21/05/2021;12;0,143;R
ES0021000004676798CK;21/05/2021;13;0,151;R
ES0021000004676798CK;21/05/2021;14;0,147;R
ES0021000004676798CK;21/05/2021;15;0,105;R
ES0021000004676798CK;21/05/2021;16;0,144;R
ES0021000004676798CK;21/05/2021;17;0,195;R
ES0021000004676798CK;21/05/2021;18;0,165;R
ES0021000004676798CK;21/05/2021;19;0,207;R
ES0021000004676798CK;21/05/2021;20;0,141;R
ES0021000004676798CK;21/05/2021;21;0,531;R
ES0021000004676798CK;21/05/2021;22;0,346;R
ES0021000004676798CK;21/05/2021;23;1,44;R
ES0021000004676798CK;21/05/2021;24;0,308;R
ES0021000004676798CK;22/05/2021;1;0,309;R
ES0021000004676798CK;22/05/2021;2;0,236;R
ES0021000004676798CK;22/05/2021;3;0,208;R
ES0021000004676798CK;22/05/2021;4;0,217;R
ES0021000004676798CK;22/05/2021;5;0,15;R
ES0021000004676798CK;22/05/2021;6;0,139;R
ES0021000004676798CK;22/05/2021;7;0,138;R
ES0021000004676798CK;22/05/2021;8;0,206;R
ES0021000004676798CK;22/05/2021;9;0,726;R
ES0021000004676798CK;22/05/2021;10;0,735;R
ES0021000004676798CK;22/05/2021;11;1,044;R
ES0021000004676798CK;22/05/2021;12;0,987;R
ES0021000004676798CK;22/05/2021;13;1,62;R
ES0021000004676798CK;22/05/2021;14;1,468;R
ES0021000004676798CK;22/05/2021;15;0,812;R
ES0021000004676798CK;22/05/2021;16;0,235;R
ES0021000004676798CK;22/05/2021;17;0,257;R
ES0021000004676798CK;22/05/2021;18;0,378;R
ES0021000004676798CK;22/05/2021;19;0,213;R
ES0021000004676798CK;22/05/2021;20;0,151;R
ES0021000004676798CK;22/05/2021;21;0,292;R
ES0021000004676798CK;22/05/2021;22;0,193;R
ES0021000004676798CK;22/05/2021;23;0,223;R
ES0021000004676798CK;22/05/2021;24;0,216;R
ES0021000004676798CK;23/05/2021;1;0,21;R
ES0021000004676798CK;23/05/2021;2;0,183;R
